v_id#lon#lat#typ#voltage#frequency#name#operator#ref#source#n_gen#capacity#net_capacity#wkt_srid_4326
251#-7.55313179351418#39.8284156954811#substation#220000;150000;60000#50########SRID=4326;POINT(-7.55313179351418 39.8284156954811)
402#-9.07916321235241#38.6300594144446#substation#220000#50#Subestação de Seixal#######SRID=4326;POINT(-9.07916321235241 38.6300594144446)
285#-8.85828740888072#38.572967560903#substation#400000;150000#50#Subestação de Palmela#######SRID=4326;POINT(-8.85828740888072 38.572967560903)
380#-8.19975950355969#40.3402695076484#substation#220000#50########SRID=4326;POINT(-8.19975950355969 40.3402695076484)
280#-8.45424804232246#41.1569625439352#substation#400000;220000;60000#50#Subestação de Recarei#######SRID=4326;POINT(-8.45424804232246 41.1569625439352)
311#-8.78969290436606#39.6505488907905#substation#400000;220000;150000#50#Subestação do Celeiro#######SRID=4326;POINT(-8.78969290436606 39.6505488907905)
3401#-8.597823195018#41.2336881620999#joint#220000;220000;220000#########SRID=4326;POINT(-8.597823195018 41.2336881620999)
3438#-8.77869780966559#40.1213215462796#joint#400000;400000###REN######SRID=4326;POINT(-8.77869780966559 40.1213215462796)
297#-6.57025590196336#41.3384390318719#substation#220000#50########SRID=4326;POINT(-6.57025590196336 41.3384390318719)
3404#-6.73894324034519#41.212495249982#joint#400000;400000;220000;220000#########SRID=4326;POINT(-6.73894324034519 41.212495249982)
318#-8.6346555110219#39.9191608604601#substation#220000;60000#50#Subestação de Pombal#######SRID=4326;POINT(-8.6346555110219 39.9191608604601)
419#-8.32283282677973#41.5774544505995#substation#400000;15000#50#Subestação de Pedralva#######SRID=4326;POINT(-8.32283282677973 41.5774544505995)
3532#-8.28053976380296#37.2734963906992#joint#150000;150000;400000;150000#50#Linha 150kV Tunes-Ourique#######SRID=4326;POINT(-8.28053976380296 37.2734963906992)
314#-8.55476254073004#41.2034328212314#substation#150000;60000#50#Subestação de Ermesinde#######SRID=4326;POINT(-8.55476254073004 41.2034328212314)
3420#-7.66594056367678#41.1373847416235#joint#220000;220000;220000#########SRID=4326;POINT(-7.66594056367678 41.1373847416235)
4676#-9.14342000356167#38.9107407204418#joint#60000;400000#50########SRID=4326;POINT(-9.14342000356167 38.9107407204418)
320#-7.91275937355166#40.132954940209#substation#220000#50########SRID=4326;POINT(-7.91275937355166 40.132954940209)
4452#-7.75752434933579#41.1362932954792#joint#220000;60000#50########SRID=4326;POINT(-7.75752434933579 41.1362932954792)
3466#-9.21139705807889#38.7851857607302#joint#220000;220000;220000#########SRID=4326;POINT(-9.21139705807889 38.7851857607302)
4483#-8.24079091524984#40.2457738403349#joint#220000;220000#########SRID=4326;POINT(-8.24079091524984 40.2457738403349)
276#-8.60995221176506#41.0688426456876#substation#220000;60000#50#Subestação de Canelas#######SRID=4326;POINT(-8.60995221176506 41.0688426456876)
4463#-8.87367980647514#39.6863220783494#joint#220000;400000;220000#########SRID=4326;POINT(-8.87367980647514 39.6863220783494)
370#-9.23877293297287#38.7781015547151#substation#400000;220000;60000#50########SRID=4326;POINT(-9.23877293297287 38.7781015547151)
322#-7.21989256575701#40.2397738303224#substation#220000;60000#50########SRID=4326;POINT(-7.21989256575701 40.2397738303224)
368#-8.44876206621604#40.4404413135341#substation#60000#50#Subestação de Mogofores#######SRID=4326;POINT(-8.44876206621604 40.4404413135341)
3436#-8.20253949684051#40.3355129866114#joint#220000;220000;220000#########SRID=4326;POINT(-8.20253949684051 40.3355129866114)
28#-8.4560606888518#40.5407919321721#sub_station####EDP######SRID=4326;POINT(-8.4560606888518 40.5407919321721)
304#-9.16625980438171#38.7802671329372#substation#220000#50########SRID=4326;POINT(-9.16625980438171 38.7802671329372)
362#-8.62549043605774#41.1722916519983#substation#220000#50########SRID=4326;POINT(-8.62549043605774 41.1722916519983)
361#-7.25884695563059#40.6141271727159#substation#220000#50#Subestação de Sobral#######SRID=4326;POINT(-7.25884695563059 40.6141271727159)
3374#-8.5019829255021#40.4785369567973#joint#400000;400000;400000###REN######SRID=4326;POINT(-8.5019829255021 40.4785369567973)
253#-7.52892089722032#38.8896038533992#substation##########SRID=4326;POINT(-7.52892089722032 38.8896038533992)
30#-8.45348521893222#40.5366901278428#sub_station####EDP######SRID=4326;POINT(-8.45348521893222 40.5366901278428)
399#-9.20271384146072#38.7712710336906#substation#220000#50########SRID=4326;POINT(-9.20271384146072 38.7712710336906)
3504#-8.7788236636369#40.119050739682#joint#400000;400000;400000#########SRID=4326;POINT(-8.7788236636369 40.119050739682)
299#-7.62166959906207#41.4725825163395#substation#220000#50#Subestação de Vila Pouca de Aguiar#######SRID=4326;POINT(-7.62166959906207 41.4725825163395)
3371#-8.42433497779408#40.4504199946264#joint#220000;220000;220000###REN######SRID=4326;POINT(-8.42433497779408 40.4504199946264)
3451#-9.14098072807108#38.9029525762262#joint#400000;400000#50########SRID=4326;POINT(-9.14098072807108 38.9029525762262)
3421#-7.65697034657568#41.1394221464956#joint#220000;220000;220000;220000#########SRID=4326;POINT(-7.65697034657568 41.1394221464956)
3981#-8.77473502932141#40.1243538619301#merge#400000#50#Central de Ciclo Combinado de Lares#######SRID=4326;POINT(-8.77473502932141 40.1243538619301)
268#-7.53333448918374#39.6643558635006#substation#400000#50########SRID=4326;POINT(-7.53333448918374 39.6643558635006)
310#-8.83703010480669#40.0578983249915#substation#400000#50#Subestação de Lavos#######SRID=4326;POINT(-8.83703010480669 40.0578983249915)
454#-7.66595237420752#41.4642784958843#substation#60000#50########SRID=4326;POINT(-7.66595237420752 41.4642784958843)
