l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
50#41#42#230000#######11132.2517690703#####''#SRID=4326;LINESTRING(-150.031772694335 61.248801241922,-149.916198650507 61.3076750653399)#line
51#41#70#230000#######68070.8712625399#####''#SRID=4326;LINESTRING(-150.031772694335 61.248801241922,-151.036879729818 61.186164231619)#line
69#41#70#138000####East###67978.2647351407#####''#SRID=4326;LINESTRING(-150.031772694335 61.248801241922,-151.036879729818 61.186164231619)#line
110#41#70#230000#######68150.1055355469#####''#SRID=4326;LINESTRING(-150.031772694335 61.248801241922,-151.036879729818 61.186164231619)#line
1372#23#41#230000;230000#######41626.6613037661#####''#SRID=4326;LINESTRING(-149.611707011996 61.5239071325466,-150.031772694335 61.248801241922)#line
