v_id#lon#lat#typ#voltage#frequency#name#operator#ref#source#n_gen#capacity#net_capacity#wkt_srid_4326
143#44.5717188844688#48.7739095788264#substation##########SRID=4326;POINT(44.5717188844688 48.7739095788264)
144#44.5732262575155#48.7747262617476#substation#220000;110000#########SRID=4326;POINT(44.5732262575155 48.7747262617476)
329#32.720800589757#52.7726910409511#sub_station##########SRID=4326;POINT(32.720800589757 52.7726910409511)
11383#37.3412704609742#55.4818401488904#station##########SRID=4326;POINT(37.3412704609742 55.4818401488904)
690#34.3277814403271#61.7596756574039#substation##########SRID=4326;POINT(34.3277814403271 61.7596756574039)
2536#38.3160744772085#45.0015879507347#substation#110000;35000#########SRID=4326;POINT(38.3160744772085 45.0015879507347)
2709#40.1804526604093#47.7517137443009#substation#220000;35000#########SRID=4326;POINT(40.1804526604093 47.7517137443009)
2720#33.799754321436#44.7053758718555#substation#35000#########SRID=4326;POINT(33.799754321436 44.7053758718555)
2822#132.184277660109#43.3840413670464#substation##########SRID=4326;POINT(132.184277660109 43.3840413670464)
2964#44.556955881258#48.7543421594012#substation#220000;110000#########SRID=4326;POINT(44.556955881258 48.7543421594012)
3046#30.2677131919076#60.0074290872525#substation##########SRID=4326;POINT(30.2677131919076 60.0074290872525)
3079#102.654409111711#58.0065096806764#substation#35000#########SRID=4326;POINT(102.654409111711 58.0065096806764)
3104#101.443912198369#56.1373866611711#substation#220000#########SRID=4326;POINT(101.443912198369 56.1373866611711)
3200#37.2446612319696#55.6771364201297#substation##########SRID=4326;POINT(37.2446612319696 55.6771364201297)
3260#52.4993951839312#54.5908904689205#sub_station###ПС Письмянка#######SRID=4326;POINT(52.4993951839312 54.5908904689205)
3267#49.2514634788969#55.8921019869077#station##########SRID=4326;POINT(49.2514634788969 55.8921019869077)
3295#61.4025184891754#55.2025998084653#station##########SRID=4326;POINT(61.4025184891754 55.2025998084653)
3384#37.4094347259429#55.6301714000948#substation##########SRID=4326;POINT(37.4094347259429 55.6301714000948)
3391#38.9935387687528#54.2694869784681#substation#500000##Михайловская#ФСК ЕЭС######SRID=4326;POINT(38.9935387687528 54.2694869784681)
3394#43.7175321859937#49.7839988590531#substation#500000##Фроловская#######SRID=4326;POINT(43.7175321859937 49.7839988590531)
3479#85.9921585246123#55.298042720711#substation#220000;110000;10000##ПС "Кемеровская" 220/110/10 кВ#######SRID=4326;POINT(85.9921585246123 55.298042720711)
3673#83.9867040405406#53.3873519324277#station###Чесноковская#######SRID=4326;POINT(83.9867040405406 53.3873519324277)
3680#40.1609494295539#45.851031245039#substation#500000;330000;220000;110000;35000##ПС 500кВ "Тихорецк"#######SRID=4326;POINT(40.1609494295539 45.851031245039)
3717#37.6693726941213#55.8775398004054#substation#220000;10000;6000##Подстанция 220 кВ «Бабушкин»#######SRID=4326;POINT(37.6693726941213 55.8775398004054)
4091#38.1454778290197#53.2159551490041#substation#220000##Звезда#######SRID=4326;POINT(38.1454778290197 53.2159551490041)
3760#43.9094735232874#54.0168918536168#substation#220000##Мокша#######SRID=4326;POINT(43.9094735232874 54.0168918536168)
3798#37.5905554475098#55.6603886824482#substation#220000##Академическая#######SRID=4326;POINT(37.5905554475098 55.6603886824482)
3883#57.3511977622673#66.1368586269827#substation#220000##КС УГПЗ#######SRID=4326;POINT(57.3511977622673 66.1368586269827)
3888#33.35308091803#55.5461796868775#substation#220000##Компрессорная#######SRID=4326;POINT(33.35308091803 55.5461796868775)
3889#32.7622032846943#55.0635476787698#substation#220000##Литейная#######SRID=4326;POINT(32.7622032846943 55.0635476787698)
3953#60.450234930718#59.6065004674957#substation###Птицефабрика#######SRID=4326;POINT(60.450234930718 59.6065004674957)
3971#37.2092155271655#45.1892530998065#substation#500000;220000##ПС 500кВ Тамань#ПАО "ФСК ЕЭС"######SRID=4326;POINT(37.2092155271655 45.1892530998065)
4005#30.2811372022703#60.0643885264363#station#220000##Подстанция "Парголово"#ОАО "ФСК ЕЭС"#ПС-410#####SRID=4326;POINT(30.2811372022703 60.0643885264363)
4017#30.2424065983421#59.9962854574493#station#220000##Подстанция "Приморская"##ПС-268#####SRID=4326;POINT(30.2424065983421 59.9962854574493)
4018#35.8953942332098#56.9065812276476#substation#330000;110000##ПС 330 кВ "Калининская"#ОАО "ФСК ЕЭС"######SRID=4326;POINT(35.8953942332098 56.9065812276476)
4024#30.571107320023#59.9122094561056#substation#330000##Подстанция "Восточная"#ОАО "ФСК ЕЭС"######SRID=4326;POINT(30.571107320023 59.9122094561056)
4027#65.6248349064793#57.200216657024#substation#500000##ПС Тюмень#ФСК ЕЭС######SRID=4326;POINT(65.6248349064793 57.200216657024)
4038#37.6607414117738#55.8472094959209#station##########SRID=4326;POINT(37.6607414117738 55.8472094959209)
4067#37.8851873841563#55.7083360333689#substation#220000;10000##Руднево#ОАО "МОЭСК"######SRID=4326;POINT(37.8851873841563 55.7083360333689)
4079#35.5112505354032#52.41449042736#substation#330000;220000;110000#50#Железногорская#ОАО "ФСК ЕЭС"######SRID=4326;POINT(35.5112505354032 52.41449042736)
4138#30.1049107859266#60.0101538211509#substation#330000;110000##Подстанция "Северная"#######SRID=4326;POINT(30.1049107859266 60.0101538211509)
4163#37.3823386185905#55.8461327335086#substation#220000;10000##ПС 220/10 кВ "Пенягино"#######SRID=4326;POINT(37.3823386185905 55.8461327335086)
4173#39.276973403028#51.6256217114283#substation#220000;110000;35000#50#Кировская#ОАО "ФСК ЕЭС"#40#####SRID=4326;POINT(39.276973403028 51.6256217114283)
