v_id#lon#lat#typ#voltage#frequency#name#operator#ref#source#n_gen#capacity#wkt_srid_4326
2409#5.5440213173998#50.9078419941972#joint#380000;150000;150000;380000;150000#50;50#######SRID=4326;POINT(5.5440213173998 50.9078419941972)
727#5.55002056985757#50.2100009699801#sub_station###Marcourt######SRID=4326;POINT(5.55002056985757 50.2100009699801)
664#4.34751607765567#50.4943785491322#substation#380000##Courcelles#Elia#####SRID=4326;POINT(4.34751607765567 50.4943785491322)
696#5.05562996116753#50.2605880500229#sub_station#380000;70000##Achêne#Elia#####SRID=4326;POINT(5.05562996116753 50.2605880500229)
3337#5.05401980603785#50.2679234011493#joint#380000;380000########SRID=4326;POINT(5.05401980603785 50.2679234011493)
2415#4.22006305142375#50.7620155848487#joint#380000;380000;380000########SRID=4326;POINT(4.22006305142375 50.7620155848487)
444#5.85739948247239#50.3763290839849#sub_station#70000##Trois-Ponts######SRID=4326;POINT(5.85739948247239 50.3763290839849)
571#4.37157349729472#50.3936912728652#sub_station#220000;150000##220/150kV Monceau######SRID=4326;POINT(4.37157349729472 50.3936912728652)
3141#5.66978241564647#50.7535125108886#merge#380000;220000;150000##380 kV Lixhe;150 kV Lixhe######SRID=4326;POINT(5.66978241564647 50.7535125108886)
525#4.90388727523483#50.4886391442475#sub_station#380000;70000##Champion######SRID=4326;POINT(4.90388727523483 50.4886391442475)
665#3.53779405366425#51.2065690500891#substation#380000;150000##380/150kV Eeklo Noord#Elia#####SRID=4326;POINT(3.53779405366425 51.2065690500891)
3143#5.42041077705766#50.5859155133475#merge#220000;150000##Awirs;Cenrale électrique des Awirs######SRID=4326;POINT(5.42041077705766 50.5859155133475)
1005#4.52727019841403#50.1720024002399#sub_station#150000;70000##Neuville######SRID=4326;POINT(4.52727019841403 50.1720024002399)
732#5.58523230472042#49.548757149352#sub_station###Latour######SRID=4326;POINT(5.58523230472042 49.548757149352)
2501#4.91054500972466#50.5110178668944#joint#380000;380000;380000########SRID=4326;POINT(4.91054500972466 50.5110178668944)
3139#5.27355398614266#50.5336995221436#merge#150000;380000;380000##Centrale nucléaire de Tihange######SRID=4326;POINT(5.27355398614266 50.5336995221436)
3371#5.46134183359369#50.5899796095627#joint#220000;70000########SRID=4326;POINT(5.46134183359369 50.5899796095627)
2410#5.55867966687995#50.8072290436566#joint#380000;380000;150000#50#######SRID=4326;POINT(5.55867966687995 50.8072290436566)
3140#4.2575692833833#51.3242438449198#merge#380000;150000##Kerncentrale van Doel;Elia Doel 380;Elia Doel 150#Electrabel#####SRID=4326;POINT(4.2575692833833 51.3242438449198)
2497#3.78044749397496#51.1327259923634#joint#380000;380000;380000#50;50##Elia#####SRID=4326;POINT(3.78044749397496 51.1327259923634)
2401#4.26745385390053#51.3535238692661#joint#380000;150000;380000;150000#50;50;50##Elia#####SRID=4326;POINT(4.26745385390053 51.3535238692661)
751#5.83732757003203#50.2384056698216#sub_station#########SRID=4326;POINT(5.83732757003203 50.2384056698216)
531#3.22666479337942#50.8980856043459#substation#380000;150000##380kV Izegem#Elia#####SRID=4326;POINT(3.22666479337942 50.8980856043459)
2439#4.30351312772037#50.7919037674506#joint#380000;150000;150000;380000########SRID=4326;POINT(4.30351312772037 50.7919037674506)
528#5.6196366839695#50.6445020348321#substation#220000;150000##220 kV Jupille######SRID=4326;POINT(5.6196366839695 50.6445020348321)
2440#4.22075583217086#50.752473352909#joint#380000;380000;380000########SRID=4326;POINT(4.22075583217086 50.752473352909)
583#4.30134017698829#50.8036700520714#substation#380000;150000##Elia Drogenbos######SRID=4326;POINT(4.30134017698829 50.8036700520714)
3132#4.94492930547331#51.1366118956298#merge#150000########SRID=4326;POINT(4.94492930547331 51.1366118956298)
726#5.66302605036017#49.9757472537779#sub_station#220000;70000##Villeroux######SRID=4326;POINT(5.66302605036017 49.9757472537779)
484#4.62935471788558#51.1957972602874#substation#380000;150000###Elia Massenhoven#####SRID=4326;POINT(4.62935471788558 51.1957972602874)
2564#4.91573448728949#50.5109139535887#joint#380000;380000;380000;380000########SRID=4326;POINT(4.91573448728949 50.5109139535887)
2498#4.52060547900393#50.4947803388795#joint#380000;380000;380000########SRID=4326;POINT(4.52060547900393 50.4947803388795)
697#5.84343045268274#50.3755063495933#substation#380000;220000##Brume#Elia#####SRID=4326;POINT(5.84343045268274 50.3755063495933)
2416#4.2201801917368#50.7567234819308#joint#380000;380000;380000########SRID=4326;POINT(4.2201801917368 50.7567234819308)
553#4.28880660613614#51.2533121420838#substation#150000##Elia Kallo######SRID=4326;POINT(4.28880660613614 51.2533121420838)
723#5.66043834092412#50.6139553428426#sub_station#220000;150000##220 kV Romsée######SRID=4326;POINT(5.66043834092412 50.6139553428426)
515#5.06328474816845#51.1071882335793#substation#380000;150000########SRID=4326;POINT(5.06328474816845 51.1071882335793)
2543#5.76250444040624#49.6923290561404#joint#220000;220000;220000#50;50#######SRID=4326;POINT(5.76250444040624 49.6923290561404)
2500#4.53307238834847#50.4948109692292#joint#380000;380000;380000########SRID=4326;POINT(4.53307238834847 50.4948109692292)
540#4.56780726668917#50.4367589761762#sub_station#380000;150000##380kV Tergnée######SRID=4326;POINT(4.56780726668917 50.4367589761762)
2557#4.52653409038453#50.4946936480249#joint#380000;380000;380000########SRID=4326;POINT(4.52653409038453 50.4946936480249)
986#3.78173158370898#51.1286261364357#substation#150000########SRID=4326;POINT(3.78173158370898 51.1286261364357)
587#4.13508086353126#51.1415606731479#substation#150000###Elia#####SRID=4326;POINT(4.13508086353126 51.1415606731479)
