l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
219#12365#42727#150000#6#1#50####407.709786557381#####''#SRID=4326;LINESTRING(15.274197227817 38.1843215536586,15.2829148718334 38.1876059238745)#line
592#42991#43324#380000#3#3####21.357#19556.2207090031#####''#SRID=4326;LINESTRING(12.7521480497414 41.889671384283,12.8660373065465 41.7574855877633)#line
604#17938#12027#380000#3#3##Latina-Aprilia 380##21.388#21143.6133757957#####''#SRID=4326;LINESTRING(12.8058034922793 41.4282221430222,12.6232322796132 41.5577306126594)#line
813#42977#43402#220000#3###Baggio-Magenta##22.228#14492.6103648491#####''#SRID=4326;LINESTRING(9.05931292693056 45.4680349838945,8.87763379791358 45.4734060032658)#line
997#9806#43008#220000#3###Flaminia-Roma Nord##22.219#8125.24234664062#####''#SRID=4326;LINESTRING(12.5429138632879 42.0045704154645,12.4545528162477 42.0090459080867)#line
1019#43340#4251##3######44455.5832384002#####''#SRID=4326;LINESTRING(13.532405024531 41.534778786595,13.8333995206292 41.2493574188285)#line
1166#5567#47024#220000#3###San Pancrazio-Santa Valburga##22.237#9378.53518226457#####''#SRID=4326;LINESTRING(11.0560992160915 46.5649317774538,10.9544032816675 46.5275933707312)#line
1497#9806#10386#220000#3######10365.9122472125#####''#SRID=4326;LINESTRING(12.5429138632879 42.0045704154645,12.5974263521295 41.9514538265206)#line
1716#43199#43411#220000#3###La Spezia - Avenza#Terna#22.257#24881.521558308#####''#SRID=4326;LINESTRING(10.0798063715976 44.0453286002275,9.88390631349604 44.1064993842982)#line
1974#10467#9697#380000#3#3##Chiari-Travagliato#Terna#T.365#18545.9132713843#####''#SRID=4326;LINESTRING(10.1064478650848 45.5381066705083,9.89767619474019 45.5409294023031)#line
2141#10662#43163#220000#3###Aversa-Centro Energia Teverola##22.232#519.612925645881#####''#SRID=4326;LINESTRING(14.2187738328856 41.0119411155006,14.2278885998387 41.0084345727526)#line
2418#7179#17755#380000#3#3##Candela-Deliceto##21.368#1654.28798221267#####''#SRID=4326;LINESTRING(15.4752286082598 41.2024899738042,15.4724490833007 41.2197342950651)#line
2742#9588#11218#220000#3#3##Montorio-Villanova##22.235#40523.2274399068#####''#SRID=4326;LINESTRING(14.1295951790573 42.4033574064234,13.7090193323575 42.5858969587023)#line
3149#42739#43418#380000#3#3##Maida-Rizziconi##21.335#64202.9078006685#####''#SRID=4326;LINESTRING(16.4652590812372 38.8686450498726,15.9865815607547 38.4426587536234)#line
4089#12556#43306#380000#3#3#####14313.9288717368#####''#SRID=4326;LINESTRING(16.61625190794 38.9955778179255,16.6570206156817 38.8755889742181)#line
4090#12556#43095#380000#3#3##Magisano-Scandale##21.372#38563.6429021648#####''#SRID=4326;LINESTRING(16.61625190794 38.9955778179255,17.0347871561944 39.1027879302223)#line
4372#4350#12648#380000#3#3####21.376#17555.8963417352#####''#SRID=4326;LINESTRING(9.70177295289421 45.0925792879631,9.51496724455651 45.1407366533998)#line
4407#42954#42760#380000#3#3##Planais - Udine Ovest##21.321#31060.635771294#####''#SRID=4326;LINESTRING(13.1307118564612 46.0450156852568,13.2338242323577 45.7837675347044)#line
4423#9517#42760#380000#3###Torviscosa - Planais###5878.18528346641#####''#SRID=4326;LINESTRING(13.2878478625974 45.8167587202772,13.2338242323577 45.7837675347044)#line
4444#43324#43001#380000#3#3##Presenzano-Valmontone##21.360#121309.8376911#####''#SRID=4326;LINESTRING(12.8660373065465 41.7574855877633,14.0906028049864 41.3807703962907)#line
4453#17938#43324#380000#3#3##Valmontone-Latina##21.303#38494.8205327675#####''#SRID=4326;LINESTRING(12.8058034922793 41.4282221430222,12.8660373065465 41.7574855877633)#line
4455#43340#17938#380000#3#2##Latina-Ceprano##21.386#73095.8691916668#####''#SRID=4326;LINESTRING(13.532405024531 41.534778786595,12.8058034922793 41.4282221430222)#line
4566#20038#44001#132000#3######979.559297161894#####''#SRID=4326;LINESTRING(12.6988043580718 42.5522907162304,12.6885763178568 42.5557419801665)#line
4567#20038#44001#132000#3######877.303220282677#####''#SRID=4326;LINESTRING(12.6988043580718 42.5522907162304,12.6885763178568 42.5557419801665)#line
5262#9833#9834#380000#6#3#50###21.309;21.310#3614.02546881772#####''#SRID=4326;LINESTRING(11.7997451912427 42.1650036346533,11.8164452142458 42.1356828320389)#line
5423#43133#46464########2880.47136957116#####''#SRID=4326;LINESTRING(14.370863612178 41.0198817544955,14.4038788731713 41.0067633634375)#line
5463#4274#10427#220000#3#3##Gragnano-Torre Nord##22.221#4098.93810448092#####''#SRID=4326;LINESTRING(14.5054214838375 40.7153209042312,14.4783869999714 40.7448917158844)#line
5621#9806#43008#220000#3###SantaLucia-Roma Nord##22.209#8508.86348103536#####''#SRID=4326;LINESTRING(12.5429138632879 42.0045704154645,12.4545528162477 42.0090459080867)#line
5945#3936#4163#380000#3#####21.336#52202.1559062757#####''#SRID=4326;LINESTRING(13.5018687011305 43.5728274248155,12.9558417677077 43.7874962654839)#line
6326#4569#43547#150000#3###Pisticci-Pisticci FS##23.726#1619.21720666893#####''#SRID=4326;LINESTRING(16.545059552315 40.4171736414154,16.5537597713976 40.4202101094653)#line
7025#4716#43096#380000#3#3####21.361#106476.638712016#####''#SRID=4326;LINESTRING(16.2148322615829 39.7125962686173,16.3616067261496 38.9330045985759)#line
7535#4350#43215#380000#3###Piacenza-San Rocco##21.384#4060.36215291673#####''#SRID=4326;LINESTRING(9.70177295289421 45.0925792879631,9.70980289575261 45.0539463200523)#line
