v_id#lon#lat#typ#voltage#frequency#name#operator#ref#source#n_gen#capacity#net_capacity#wkt_srid_4326
2026#8.91306727087502#47.1781839461993#joint#220000#50########SRID=4326;POINT(8.91306727087502 47.1781839461993)
285#6.32451128303838#46.4624275822093#substation###Rolle#######SRID=4326;POINT(6.32451128303838 46.4624275822093)
1815#8.97200681464444#47.22250995425#joint#220000;220000;220000#50;50;50##NOK#Bachtel;Vo-O#####SRID=4326;POINT(8.97200681464444 47.22250995425)
3485#8.89809487037154#46.1720396693324#joint#220000;220000;220000#50;50;50########SRID=4326;POINT(8.89809487037154 46.1720396693324)
305#7.25857558233035#47.3376720959798#substation#380000;220000##Bassecourt#######SRID=4326;POINT(7.25857558233035 47.3376720959798)
1721#7.63340457223279#47.2367191407346#joint#220000;132000;132000#50;16.7;50;16.7##ATEL######SRID=4326;POINT(7.63340457223279 47.2367191407346)
3674#8.70574476188102#47.4809700480598#merge##########SRID=4326;POINT(8.70574476188102 47.4809700480598)
683#8.97939766774482#46.3335834385162#station###Biasca#######SRID=4326;POINT(8.97939766774482 46.3335834385162)
312#8.77550888098338#47.657565782582#sub_station##########SRID=4326;POINT(8.77550888098338 47.657565782582)
2395#7.37351162991124#46.2161624515816#joint#220000#50########SRID=4326;POINT(7.37351162991124 46.2161624515816)
2415#9.01588089244696#46.2429021470423#joint#220000;220000;220000#50########SRID=4326;POINT(9.01588089244696 46.2429021470423)
685#8.97091973720485#46.3318003947964#station##########SRID=4326;POINT(8.97091973720485 46.3318003947964)
1532#8.59493026047702#46.5263645946529#joint#220000#50########SRID=4326;POINT(8.59493026047702 46.5263645946529)
4480#8.04098250779334#46.3511142203555#joint#220000;220000;220000;220000####22.227#####SRID=4326;POINT(8.04098250779334 46.3511142203555)
209#9.5632510954575#46.6645796676357#sub_station##########SRID=4326;POINT(9.5632510954575 46.6645796676357)
606#7.8585796959582#46.6703133949913#sub_station##########SRID=4326;POINT(7.8585796959582 46.6703133949913)
175#7.97775752553601#47.3672232595163#substation###Gösgen#######SRID=4326;POINT(7.97775752553601 47.3672232595163)
550#7.20924383110347#46.1583329366559#substation##########SRID=4326;POINT(7.20924383110347 46.1583329366559)
599#8.01163056221974#46.3320844413446#station#132000;15000;11000#16.7#Massaboden#######SRID=4326;POINT(8.01163056221974 46.3320844413446)
856#8.98639189316718#46.8808693136963#substation###Tierfehd#######SRID=4326;POINT(8.98639189316718 46.8808693136963)
2447#8.91366402171826#46.1539220531518#joint#66000;220000;220000;66000#16.7;50;50;16.7########SRID=4326;POINT(8.91366402171826 46.1539220531518)
4113#9.16871021940948#47.4561535043252#joint#220000#50########SRID=4326;POINT(9.16871021940948 47.4561535043252)
2053#7.79058701957701#47.152207470852#joint#220000;220000;220000;220000#50;50;50;50########SRID=4326;POINT(7.79058701957701 47.152207470852)
3681#7.26966618643349#46.9695663671591#merge###Mühleberg/West;Kernkraftwerk Mühleberg#######SRID=4326;POINT(7.26966618643349 46.9695663671591)
1312#8.72214221499717#47.4468021498548#joint#220000;220000;220000#50;50;50##NOK######SRID=4326;POINT(8.72214221499717 47.4468021498548)
299#9.37905693778743#46.8112321069275#substation###Bonaduz#######SRID=4326;POINT(9.37905693778743 46.8112321069275)
1764#6.80312319615606#46.5357273895316#joint#220000;132000;220000;132000;132000#50;16.7;50;16.7;16.7##SBB#LT 131#####SRID=4326;POINT(6.80312319615606 46.5357273895316)
1820#8.00092233312495#47.3358380895999#joint#220000;132000;380000;220000#50;16.7;50########SRID=4326;POINT(8.00092233312495 47.3358380895999)
871#7.75254342927002#47.5391132971182#substation#380000##Asphard#ALPIQ AXPO######SRID=4326;POINT(7.75254342927002 47.5391132971182)
3444#6.61410211952289#46.5577063704983#joint#220000;380000#50;50########SRID=4326;POINT(6.61410211952289 46.5577063704983)
2445#8.96841984171495#46.3304386778952#joint#220000;380000;220000#50########SRID=4326;POINT(8.96841984171495 46.3304386778952)
4430#9.5438215544168#47.2899245017321#joint#220000#50##SAK######SRID=4326;POINT(9.5438215544168 47.2899245017321)
214#7.51419332996668#46.7785489532683#substation#220000##Unterstation Wattenwil (BKW Energie)#######SRID=4326;POINT(7.51419332996668 46.7785489532683)
1529#8.59182855746401#46.5257203873841#joint#220000#########SRID=4326;POINT(8.59182855746401 46.5257203873841)
339#7.26235581826072#46.8749248399358#sub_station####Groupe E######SRID=4326;POINT(7.26235581826072 46.8749248399358)
2310#7.25760353593728#47.0880187785145#joint#66000;66000;220000#50;16.7;50;16.7;50##SBB######SRID=4326;POINT(7.25760353593728 47.0880187785145)
1519#6.88228354747642#46.4906594353825#joint#220000;132000#50;16.7##SBB#LT 131#####SRID=4326;POINT(6.88228354747642 46.4906594353825)
2397#7.30191141019049#46.032548966218#joint#220000;220000#50########SRID=4326;POINT(7.30191141019049 46.032548966218)
1303#9.09314103744683#47.5561892573713#joint#220000;220000;220000#50;50;50##NOK######SRID=4326;POINT(9.09314103744683 47.5561892573713)
4120#7.65639237646364#46.3031742608206#joint#220000#########SRID=4326;POINT(7.65639237646364 46.3031742608206)
3704#6.87997374657926#46.3468007918292#merge###Chavalon#Axpo######SRID=4326;POINT(6.87997374657926 46.3468007918292)
1818#8.9687238316071#47.2231599438915#joint#380000;220000;220000;380000#50;50########SRID=4326;POINT(8.9687238316071 47.2231599438915)
1543#9.54265926326163#47.3286078702762#joint#220000;220000;220000#50;50;50##Swissgrid######SRID=4326;POINT(9.54265926326163 47.3286078702762)
