l_id#v_id_1#v_id_2#voltage#cables#wires#frequency#name#operator#ref#length_m#r_ohmkm#x_ohmkm#c_nfkm#i_th_max_a#from_relation#wkt_srid_4326#type
18572#1809#3117#600000;600000;600000;500000;600000;600000#2;2;2;2;2;2##0;0;0;0;0;0#HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South;HVDC Itaipu - Bipole South###390474.995685663#####''#SRID=4326;LINESTRING(-47.1036569392876 -23.6657903593911,-50.8557330481667 -24.3211258410635)#line
4775#475#1144#345000#6##60####482.46050864669#####''#SRID=4326;LINESTRING(-41.8793936501718 -22.3037007090473,-41.8726876911969 -22.3048902390192)#line
17#980#19845########241.052093786014#####''#SRID=4326;LINESTRING(-43.3337632608873 -22.8054585706495,-43.331371327808 -22.8048200989614)#line
766#1781#2821#33000#3#1#####27286.1164445077#####''#SRID=4326;LINESTRING(-58.8508616782254 -37.7855870619397,-58.6339598631594 -37.6171619579233)#line
44#1263#1497#230000####LT Sorriso - Sinop C2###76063.8216541799#####''#SRID=4326;LINESTRING(-55.7631946612157 -12.5756333624091,-55.5215451863842 -11.9836496547692)#line
140#1216#2023#500000#3######504.716152896324#####''#SRID=4326;LINESTRING(-50.4915679320029 -19.0219300121365,-50.4984965787267 -19.0186461972052)#line
663#773#919########6437.36175282416#####''#SRID=4326;LINESTRING(-43.2357014678617 -22.9677882620994,-43.2643927230141 -22.9277167675312)#line
11992#973#17401#110000#6######655.967703559216#####''#SRID=4326;LINESTRING(-49.3322493904178 -25.5259195172468,-49.3305135593723 -25.5333357417377)#line
176#2640#19408#500000#3#4#60####42179.201493201#####''#SRID=4326;LINESTRING(-48.0464554553013 -13.7657053284251,-48.2998050684549 -13.8248340826069)#line
358#650#745##3#1#####2186.19820775019#####''#SRID=4326;LINESTRING(-71.5257725085095 -33.0344950033027,-71.5463901763045 -33.0244751302262)#line
2278#1866#2378########9049.79024849071#####''#SRID=4326;LINESTRING(-71.7191891211648 10.7172648200699,-71.6689267772367 10.7756956043353)#line
247#2826#19443#500000#3##60####343265.464290625#####''#SRID=4326;LINESTRING(-48.455324411192 -7.97107506406254,-47.4737337332632 -5.42237567849508)#line
509#822#954########896.828703068369#####''#SRID=4326;LINESTRING(-49.4113660958712 -28.6024784264116,-49.4136381808694 -28.5922456220354)#line
429#895#1164#110000###50####10947.1849759828#####''#SRID=4326;LINESTRING(-70.6285788734557 -33.3592637195379,-70.6393862834973 -33.4273285203281)#line
431#19270#1165#500000#3######202951.264091139#####''#SRID=4326;LINESTRING(-51.2011025774995 -29.277178483497,-51.4170996459572 -27.5394837454055)#line
535#1615#2052#750000#3##60####305078.003272128#####''#SRID=4326;LINESTRING(-46.2732905718022 -23.7105227431303,-49.1320430816128 -23.9513974043535)#line
537#465#1936#110000#6#1#50####3377.95174046132#####''#SRID=4326;LINESTRING(-70.7257293900227 -33.5599729289083,-70.7112906976737 -33.5303830381151)#line
548#862#4111########2741.73880422173#####''#SRID=4326;LINESTRING(-43.7357207699688 -22.8945129771892,-43.761096118903 -22.8827880911539)#line
643#911#19353#90000#####EDF##6744.07078359441#####''#SRID=4326;LINESTRING(-52.296407361882 4.92146935196123,-52.2753663590944 4.86308163564871)#line
861#899#1033#220000#3#1#####282.712571380962#####''#SRID=4326;LINESTRING(-70.3889949882256 -23.6730875081925,-70.394501563406 -23.672766111477)#line
699#943#1078#500000#3#4#60####455.8115929321#####''#SRID=4326;LINESTRING(-51.6774396037571 -24.4309578201713,-51.6749679922281 -24.4207645510344)#line
712#856#2258#500000#3##60####29100.1329351564#####''#SRID=4326;LINESTRING(-51.3351879676549 -29.8231370826014,-51.0641241524556 -29.8828883557824)#line
716#848#20837########15124.0713795746#####''#SRID=4326;LINESTRING(-43.4768178999146 -22.6655521997089,-43.3334844830901 -22.6404180357992)#line
740#971#1127##3######11552.0807163017#####''#SRID=4326;LINESTRING(-49.2819802903654 -25.631893955005,-49.1834177736775 -25.6686889086543)#line
811#867#880#220000#3######72232.7806992616#####''#SRID=4326;LINESTRING(-70.0389933905704 -26.398203028186,-69.9025326142407 -27.0017860653055)#line
742#2159#2522#500000#3#4#50##Transener##301952.160382824#####''#SRID=4326;LINESTRING(-58.1642427257942 -34.9673814847404,-60.3437212208102 -36.838892284419)#line
757#974#19349#110000#6######3499.90236885007#####''#SRID=4326;LINESTRING(-49.3117672574302 -25.4610584005925,-49.3420571869122 -25.4789272511911)#line
892#1045#19244#90000#####EDF##21654.642086723#####''#SRID=4326;LINESTRING(-52.5075524482979 4.89748739257086,-52.3338025735971 4.89016536222314)#line
932#2171#19346#330000#3##50####550447.286616022#####''#SRID=4326;LINESTRING(-71.628992796373 -43.1334369203371,-65.1034052854634 -42.7073420583251)#line
940#1063#1118########2089.51851599998#####''#SRID=4326;LINESTRING(-51.151767519658 -23.3171153398528,-51.1289945463184 -23.3164661353922)#line
977#19315#19322#500000#3######240027.278810908#####''#SRID=4326;LINESTRING(-70.6929228708889 -33.7137114295003,-71.3785634925774 -35.6841801443685)#line
4360#2616#20370#69000#3##60####2332.6151016228#####''#SRID=4326;LINESTRING(-51.177426854886 -29.9477669627648,-51.2007595391216 -29.9541499371286)#line
1227#488#673#138000####LT PCH José Gelázio - Rondonópolis###29264.2375194604#####''#SRID=4326;LINESTRING(-54.7302897483675 -16.65424186752,-54.5991840780117 -16.470598396001)#line
1010#1125#1311#220000#6##50####21220.7580333523#####''#SRID=4326;LINESTRING(-57.4422636377513 -25.4628087098706,-57.230706361091 -25.4963520921566)#line
1100#19344#1172#220000#3##50####2278.63794501526#####''#SRID=4326;LINESTRING(-69.4091965956772 -23.448399228477,-69.3844223051971 -23.4540177997078)#line
1122#1191#1395#220000#6##60####25529.6945073173#####''#SRID=4326;LINESTRING(-74.8888465748335 5.56536358526979,-74.7186560118777 5.4239060304236)#line
1070#1334#1350########4648.68850749753#####''#SRID=4326;LINESTRING(-49.5329453320522 -25.4111250847166,-49.5467704264087 -25.4529622084507)#line
1173#1762#844#220000#3##50####173346.264784165#####''#SRID=4326;LINESTRING(-69.6936396676122 -20.8154984465741,-69.567389659067 -22.2759735738994)#line
1234#1485#958#500000#3######174961.440506762#####''#SRID=4326;LINESTRING(-48.2535897115488 -21.7742684376731,-46.6120099846111 -21.7976503761453)#line
1296#1785#19315#110000###50####60393.4094124634#####''#SRID=4326;LINESTRING(-70.6343368874261 -34.2509609570663,-70.6929228708889 -33.7137114295003)#line
1339#1543#21038########6955.05351229508#####''#SRID=4326;LINESTRING(-43.4730861035829 -22.8614266384005,-43.4983692897537 -22.8997364588802)#line
13801#17176#17871#110000#6#2;1#50####44.2594765173386#####''#SRID=4326;LINESTRING(-70.7312228423863 -33.4837383933085,-70.7312146677172 -33.4833244410481)#line
1405#474#1334#500000#3##60####35159.4168640784#####''#SRID=4326;LINESTRING(-49.3186140022568 -25.5937190806797,-49.5329453320522 -25.4111250847166)#line
1389#19322#19465#500000#3#2#50#S/E Ancoa - S/E Charrúa 1x500 kV###182404.638527961#####''#SRID=4326;LINESTRING(-71.3785634925774 -35.6841801443685,-72.3195920579555 -37.0898739246062)#line
1427#673#19333#230000#3#1##LT Rondonópolis - Coxipó C2###187412.330733642#####''#SRID=4326;LINESTRING(-54.5991840780117 -16.470598396001,-55.9977850721681 -15.6281293470343)#line
1444#1368#21090#345000#6##60####13136.8413751705#####''#SRID=4326;LINESTRING(-46.2534408934398 -23.5865124956975,-46.1766389159177 -23.5481523893341)#line
1458#1371#4125########6431.63535824509#####''#SRID=4326;LINESTRING(-41.3619748325046 -21.7286711950088,-41.3299043038464 -21.7685396448635)#line
1475#1652#1689########38643.6177629026#####''#SRID=4326;LINESTRING(-55.5933418851383 -34.6633835780596,-55.2201199641746 -34.7812809647222)#line
1478#1652#1669########46895.3091467825#####''#SRID=4326;LINESTRING(-55.5933418851383 -34.6633835780596,-55.231333178208 -34.3831411483475)#line
